Build from bt.06.h.cif

774 atoms
7 atom types
186 bonds
2 bond types
105 angles
2 angle types
0.0 20.205600  xlo xhi
0.0 18.628755  ylo yhi
0.0 27.987500  zlo zhi
-12.213593  0.000000  0.000000 xy xz yz

Masses

  1    28.085500  # st
  2    40.078000  # cah
  3    15.999400  # ob
  4    15.999400  # oh
  5     1.007940  # ho
  6    15.999400  # o*
  7     1.007940  # h*

Atoms

   89 162   1   2.1000   7.531180727035   8.531348638167  18.254429656941 # st
   90 163   1   2.1000   5.495581865045  11.636141066340   8.447609656941 # st
   91 164   1   2.1000   7.025868756668  10.791637526160  16.264518406941 # st
   92 165   1   2.1000   9.061467619879   7.686845096124  10.437520906941 # st
   93 166   1   2.1000   8.510695636972  12.101859930752   4.257880906941 # st
   94 167   1   2.1000  10.546294498961   8.997067502579  22.444158406941 # st
   95 168   1   2.1000   5.143095636298  12.101859930752  18.251630906941 # st
   96 169   1   2.1000   7.178694498288   8.997067502579   8.450408406941 # st
   97 170   2   1.0500  10.652446417083   8.773522447662   7.338744906941 # cah
   98 171   2   1.0500   8.616847555094  11.878314875834  19.362174906941 # cah
   99 172   2   1.0500   7.284846416410   8.773522447662  21.332494906941 # cah
  100 173   2   1.0500   5.249247554420  11.878314875834   5.368424906941 # cah
  101 174   2   1.0500   7.366925623906   8.792151202238   5.365626156941 # cah
  102 175   2   1.0500   5.331326761917  11.896943630411  21.335293656941 # cah
  103 176   2   1.0500  10.734525622559   8.792151202238  19.359376156941 # cah
  104 177   2   1.0500   8.698926760570  11.896943630411   7.341543656941 # cah
  105 178   2   1.0500   7.959925053304   9.202604760786  13.298962906941 # cah
  106 179   3  -1.0500  10.399546614916   9.314377288245   2.850949281941 # ob
  107 180   3  -1.0500  12.435145478127   6.209584858209  23.852769281941 # ob
  108 181   3  -1.0500   7.031946614243   9.314377288245  16.844699281941 # ob
  109 182   3  -1.0500   9.067545477454   6.209584858209   9.859019281941 # ob
  110 183   3  -1.0500  11.768425081368   7.308681378222   3.673781781941 # ob
  111 184   3  -1.0500   9.732826218157  10.413473808258  23.029936781941 # ob
  112 185   3  -1.0500   8.400825080695   7.308681378222  17.667531781941 # ob
  113 186   3  -1.0500   6.365226217484  10.413473808258   9.036186781941 # ob
  114 187   3  -1.0500  11.709626790441   9.575179852315   5.151521781941 # ob
  115 188   3  -1.0500  13.745225653652   6.470387422280  21.552196781941 # ob
